name,shape,parameters,trainable,category
backbone.backbone.enc.enc3.down.proj.weight,"[256, 128]",32768,True,Stem + pool/unpool
backbone.backbone.enc.enc3.down.proj.bias,[256],256,True,Stem + pool/unpool
backbone.backbone.enc.enc3.block0.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block0.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block0.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block0.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block0.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block0.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block0.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block0.norm1.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block0.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block0.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block0.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block0.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block0.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block0.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block0.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block0.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block0.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block0.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block0.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block0.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc3.block1.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block1.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block1.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block1.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block1.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block1.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block1.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block1.norm1.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block1.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block1.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block1.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block1.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block1.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block1.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block1.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block1.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block1.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block1.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block1.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block1.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc3.block2.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block2.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block2.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block2.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block2.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block2.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block2.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block2.norm1.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block2.attn.qkv.weight,"[768, 256]",196608,True,Attention QKV + projection
backbone.backbone.enc.enc3.block2.attn.qkv.bias,[768],768,True,Attention QKV + projection
backbone.backbone.enc.enc3.block2.attn.proj.weight,"[256, 256]",65536,True,Attention QKV + projection
backbone.backbone.enc.enc3.block2.attn.proj.bias,[256],256,True,Attention QKV + projection
backbone.backbone.enc.enc3.block2.norm2.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block2.norm2.0.bias,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block2.mlp.0.fc1.weight,"[1024, 256]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block2.mlp.0.fc1.bias,[1024],1024,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block2.mlp.0.fc2.weight,"[256, 1024]",262144,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block2.mlp.0.fc2.bias,[256],256,True,Block feed-forward MLP
backbone.backbone.enc.enc3.block2.t_mlp.weight,"[256, 3]",768,True,Time conditioning
backbone.backbone.enc.enc3.block2.t_mlp.bias,[256],256,True,Time conditioning
backbone.backbone.enc.enc3.block3.cpe.0.weight,"[256, 3, 3, 3, 256]",1769472,True,3D convolution in CPE
backbone.backbone.enc.enc3.block3.cpe.0.bias,[256],256,True,3D convolution in CPE
backbone.backbone.enc.enc3.block3.cpe.1.weight,"[256, 256]",65536,True,CPE linear + norm
backbone.backbone.enc.enc3.block3.cpe.1.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block3.cpe.2.weight,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block3.cpe.2.bias,[256],256,True,CPE linear + norm
backbone.backbone.enc.enc3.block3.norm1.0.weight,[256],256,True,Attention/MLP norms
backbone.backbone.enc.enc3.block3.norm1.0.bias,[256],256,True,Attention/MLP norms
